ID,Torneo,Tipo_Torneo,Player,Rondas,Equipo,Wins,Losses
20001,FlorTour: Vol. XXII,No-Oficial,alphamystogan,https://play.limitlesstcg.com/api/tournaments/66351fbdb8762f7f15f62218/pairings,"[{'id': 'calyrex-ice-rider', 'name': 'Ice Rider Calyrex', 'item': 'Clear Amulet', 'ability': 'As One ', 'attacks': ['Glacial Lance', 'High Horsepower', 'Protect', 'Trick Room'], 'tera': 'Fire'}, {'id': 'farigiraf', 'name': 'Farigiraf', 'item': 'Sitrus Berry', 'ability': 'Armor Tail', 'attacks': ['Trick Room', 'Dazzling Gleam', 'Psychic', 'Helping Hand'], 'tera': 'Fire'}, {'id': 'iron-hands', 'name': 'Iron Hands', 'item': 'Assault Vest', 'ability': 'Quark Drive', 'attacks': ['Fake Out', 'Wild Charge', 'Close Combat', 'Heavy Slam'], 'tera': 'Grass'}, {'id': 'ursaluna-bloodmoon', 'name': 'Bloodmoon Ursaluna', 'item': 'Life Orb', 'ability': ""Mind's Eye"", 'attacks': ['Blood Moon', 'Earth Power', 'Hyper Voice', 'Protect'], 'tera': 'Normal'}, {'id': 'tornadus', 'name': 'Tornadus', 'item': 'Rocky Helmet', 'ability': 'Prankster', 'attacks': ['Tailwind', 'Bleakwind Storm', 'Taunt', 'Protect'], 'tera': 'Steel'}, {'id': 'urshifu', 'name': 'Urshifu', 'item': 'Focus Sash', 'ability': 'Unseen Fist', 'attacks': ['Wicked Blow', 'Close Combat', 'Sucker Punch', 'Detect'], 'tera': 'Dark'}]",7,1
20002,FlorTour: Vol. XXII,No-Oficial,richvvs,https://play.limitlesstcg.com/api/tournaments/66351fbdb8762f7f15f62218/pairings,"[{'id': 'incineroar', 'name': 'Incineroar', 'item': 'Safety Goggles', 'ability': 'Intimidate', 'attacks': ['Fake Out', 'Taunt', 'Knock Off', 'Parting Shot'], 'tera': 'Ghost'}, {'id': 'amoonguss', 'name': 'Amoonguss', 'item': 'Sitrus Berry', 'ability': 'Regenerator', 'attacks': ['Protect', 'Spore', 'Rage Powder', 'Pollen Puff'], 'tera': 'Dark'}, {'id': 'zamazenta-crowned', 'name': 'Zamazenta', 'item': 'Rusted Shield', 'ability': 'Dauntless Shield', 'attacks': ['Protect', 'Iron Defense', 'Body Press', 'Heavy Slam'], 'tera': 'Grass'}, {'id': 'urshifu-rapid-strike', 'name': 'Rapid Strike Urshifu', 'item': 'Choice Scarf', 'ability': 'Unseen Fist', 'attacks': ['Surging Strikes', 'Close Combat', 'Aqua Jet', 'U-turn'], 'tera': 'Water'}, {'id': 'pelipper', 'name': 'Pelipper', 'item': 'Focus Sash', 'ability': 'Drizzle', 'attacks': ['Protect', 'Hurricane', 'Weather Ball', 'Wide Guard'], 'tera': 'Stellar'}, {'id': 'rillaboom', 'name': 'Rillaboom', 'item': 'Assault Vest', 'ability': 'Grassy Surge', 'attacks': ['Wood Hammer', 'Grassy Glide', 'U-turn', 'Fake Out'], 'tera': 'Fire'}]",6,2
20003,FlorTour: Vol. XXII,No-Oficial,talonlies,https://play.limitlesstcg.com/api/tournaments/66351fbdb8762f7f15f62218/pairings,"[{'id': 'koraidon', 'name': 'Koraidon', 'item': 'Clear Amulet', 'ability': 'Orichalcum Pulse', 'attacks': ['Protect', 'Flare Blitz', 'Collision Course', 'Dragon Claw'], 'tera': 'Fire'}, {'id': 'entei', 'name': 'Entei', 'item': 'Assault Vest', 'ability': 'Inner Focus', 'attacks': ['Sacred Fire', 'Extreme Speed', 'Snarl', 'Stomping Tantrum'], 'tera': 'Normal'}, {'id': 'flutter-mane', 'name': 'Flutter Mane', 'item': 'Choice Specs', 'ability': 'Protosynthesis', 'attacks': ['Dazzling Gleam', 'Moonblast', 'Shadow Ball', 'Misty Terrain'], 'tera': 'Fairy'}, {'id': 'tornadus', 'name': 'Tornadus', 'item': 'Covert Cloak', 'ability': 'Prankster', 'attacks': ['Tailwind', 'Taunt', 'Bleakwind Storm', 'Sunny Day'], 'tera': 'Dark'}, {'id': 'kingambit', 'name': 'Kingambit', 'item': 'Black Glasses', 'ability': 'Defiant', 'attacks': ['Kowtow Cleave', 'Iron Head', 'Sucker Punch', 'Protect'], 'tera': 'Dark'}, {'id': 'raging-bolt', 'name': 'Raging Bolt', 'item': 'Magnet', 'ability': 'Protosynthesis', 'attacks': ['Thunderbolt', 'Thunderclap', 'Dragon Pulse', 'Protect'], 'tera': 'Electric'}]",5,2
20004,FlorTour: Vol. XXII,No-Oficial,florianvgc,https://play.limitlesstcg.com/api/tournaments/66351fbdb8762f7f15f62218/pairings,"[{'id': 'calyrex-ice-rider', 'name': 'Ice Rider Calyrex', 'item': 'Clear Amulet', 'ability': 'As One ', 'attacks': ['Glacial Lance', 'High Horsepower', 'Trick Room', 'Protect'], 'tera': 'Fire'}, {'id': 'incineroar', 'name': 'Incineroar', 'item': 'Safety Goggles', 'ability': 'Intimidate', 'attacks': ['Flare Blitz', 'Knock Off', 'Parting Shot', 'Fake Out'], 'tera': 'Ghost'}, {'id': 'ursaluna-bloodmoon', 'name': 'Bloodmoon Ursaluna', 'item': 'Life Orb', 'ability': ""Mind's Eye"", 'attacks': ['Hyper Voice', 'Blood Moon', 'Earth Power', 'Protect'], 'tera': 'Normal'}, {'id': 'farigiraf', 'name': 'Farigiraf', 'item': 'Sitrus Berry', 'ability': 'Armor Tail', 'attacks': ['Dazzling Gleam', 'Foul Play', 'Trick Room', 'Helping Hand'], 'tera': 'Fairy'}, {'id': 'rillaboom', 'name': 'Rillaboom', 'item': 'Assault Vest', 'ability': 'Grassy Surge', 'attacks': ['Wood Hammer', 'Grassy Glide', 'U-turn', 'Fake Out'], 'tera': 'Water'}, {'id': 'urshifu', 'name': 'Urshifu', 'item': 'Focus Sash', 'ability': 'Unseen Fist', 'attacks': ['Wicked Blow', 'Close Combat', 'Sucker Punch', 'Detect'], 'tera': 'Dark'}]",5,2
20005,FlorTour: Vol. XXII,No-Oficial,fofer,https://play.limitlesstcg.com/api/tournaments/66351fbdb8762f7f15f62218/pairings,"[{'id': 'zamazenta-crowned', 'name': 'Zamazenta', 'item': 'Rusted Shield', 'ability': 'Dauntless Shield', 'attacks': ['Heavy Slam', 'Iron Defense', 'Body Press', 'Protect'], 'tera': 'Grass'}, {'id': 'incineroar', 'name': 'Incineroar', 'item': 'Safety Goggles', 'ability': 'Intimidate', 'attacks': ['Fake Out', 'Will-O-Wisp', 'Parting Shot', 'Knock Off'], 'tera': 'Ghost'}, {'id': 'rillaboom', 'name': 'Rillaboom', 'item': 'Assault Vest', 'ability': 'Grassy Surge', 'attacks': ['Wood Hammer', 'U-turn', 'Grassy Glide', 'Fake Out'], 'tera': 'Fire'}, {'id': 'pelipper', 'name': 'Pelipper', 'item': 'Focus Sash', 'ability': 'Drizzle', 'attacks': ['Weather Ball', 'Hurricane', 'Wide Guard', 'Protect'], 'tera': 'Stellar'}, {'id': 'raging-bolt', 'name': 'Raging Bolt', 'item': 'Leftovers', 'ability': 'Protosynthesis', 'attacks': ['Thunderclap', 'Dragon Pulse', 'Calm Mind', 'Protect'], 'tera': 'Fairy'}, {'id': 'grimmsnarl', 'name': 'Grimmsnarl', 'item': 'Light Clay', 'ability': 'Prankster', 'attacks': ['Reflect', 'Light Screen', 'Spirit Break', 'Thunder Wave'], 'tera': 'Steel'}]",5,1
20006,FlorTour: Vol. XXII,No-Oficial,aberen,https://play.limitlesstcg.com/api/tournaments/66351fbdb8762f7f15f62218/pairings,"[{'id': 'calyrex-ice-rider', 'name': 'Ice Rider Calyrex', 'item': 'Clear Amulet', 'ability': 'As One ', 'attacks': ['Glacial Lance', 'Close Combat', 'Trick Room', 'Protect'], 'tera': 'Fire'}, {'id': 'incineroar', 'name': 'Incineroar', 'item': 'Safety Goggles', 'ability': 'Intimidate', 'attacks': ['Flare Blitz', 'Knock Off', 'Parting Shot', 'Fake Out'], 'tera': 'Grass'}, {'id': 'amoonguss', 'name': 'Amoonguss', 'item': 'Rocky Helmet', 'ability': 'Regenerator', 'attacks': ['Rage Powder', 'Spore', 'Pollen Puff', 'Clear Smog'], 'tera': 'Water'}, {'id': 'urshifu-rapid-strike', 'name': 'Rapid Strike Urshifu', 'item': 'Choice Scarf', 'ability': 'Unseen Fist', 'attacks': ['Surging Strikes', 'Close Combat', 'U-turn', 'Ice Spinner'], 'tera': 'Fire'}, {'id': 'landorus', 'name': 'Landorus', 'item': 'Life Orb', 'ability': 'Sheer Force', 'attacks': ['Earth Power', 'Sludge Bomb', 'Substitute', 'Protect'], 'tera': 'Steel'}, {'id': 'ting-lu', 'name': 'Ting-Lu', 'item': 'Sitrus Berry', 'ability': 'Vessel of Ruin', 'attacks': ['Stomping Tantrum', 'Snarl', 'Taunt', 'Protect'], 'tera': 'Grass'}]",4,2
20007,FlorTour: Vol. XXII,No-Oficial,chefrich22,https://play.limitlesstcg.com/api/tournaments/66351fbdb8762f7f15f62218/pairings,"[{'id': 'roaring-moon', 'name': 'Roaring Moon', 'item': 'Booster Energy', 'ability': 'Protosynthesis', 'attacks': ['Tailwind', 'Acrobatics', 'Protect', 'Breaking Swipe'], 'tera': 'Flying'}, {'id': 'miraidon', 'name': 'Miraidon', 'item': 'Choice Specs', 'ability': 'Hadron Engine', 'attacks': ['Electro Drift', 'Draco Meteor', 'Dazzling Gleam', 'Volt Switch'], 'tera': 'Fairy'}, {'id': 'urshifu-rapid-strike', 'name': 'Rapid Strike Urshifu', 'item': 'Splash Plate', 'ability': 'Unseen Fist', 'attacks': ['Surging Strikes', 'Close Combat', 'Aqua Jet', 'Detect'], 'tera': 'Water'}, {'id': 'entei', 'name': 'Entei', 'item': 'Assault Vest', 'ability': 'Inner Focus', 'attacks': ['Sacred Fire', 'Extreme Speed', 'Stomping Tantrum', 'Snarl'], 'tera': 'Water'}, {'id': 'shiftry', 'name': 'Shiftry', 'item': 'Focus Sash', 'ability': 'Wind Rider', 'attacks': ['Fake Out', 'Sucker Punch', 'Leaf Blade', 'Knock Off'], 'tera': 'Dark'}, {'id': 'avalugg', 'name': 'Avalugg', 'item': 'Electric Seed', 'ability': 'Own Tempo', 'attacks': ['Body Press', 'Wide Guard', 'Iron Defense', 'Gyro Ball'], 'tera': 'Fighting'}]",4,2
20008,FlorTour: Vol. XXII,No-Oficial,goto,https://play.limitlesstcg.com/api/tournaments/66351fbdb8762f7f15f62218/pairings,"[{'id': 'miraidon', 'name': 'Miraidon', 'item': 'Life Orb', 'ability': 'Hadron Engine', 'attacks': ['Electro Drift', 'Protect', 'Draco Meteor', 'Parabolic Charge'], 'tera': 'Electric'}, {'id': 'iron-jugulis', 'name': 'Iron Jugulis', 'item': 'Focus Sash', 'ability': 'Quark Drive', 'attacks': ['Tailwind', 'Snarl', 'Roar', 'Protect'], 'tera': 'Ground'}, {'id': 'landorus-therian', 'name': 'Landorus Therian', 'item': 'Clear Amulet', 'ability': 'Intimidate', 'attacks': ['Rock Slide', 'Earthquake', 'Stomping Tantrum', 'Protect'], 'tera': 'Fairy'}, {'id': 'urshifu-rapid-strike', 'name': 'Rapid Strike Urshifu', 'item': 'Choice Scarf', 'ability': 'Unseen Fist', 'attacks': ['Surging Strikes', 'Close Combat', 'Aqua Jet', 'U-turn'], 'tera': 'Water'}, {'id': 'ogerpon-hearthflame', 'name': 'Hearthflame Mask Ogerpon', 'item': 'Hearthflame Mask', 'ability': 'Mold Breaker', 'attacks': ['Ivy Cudgel', 'Trailblaze', 'Encore', 'Spiky Shield'], 'tera': 'Fire'}, {'id': 'chien-pao', 'name': 'Chien-Pao', 'item': 'Assault Vest', 'ability': 'Sword of Ruin', 'attacks': ['Ice Shard', 'Sacred Sword', 'Sucker Punch', 'Icicle Crash'], 'tera': 'Fairy'}]",4,2
20009,FlorTour: Vol. XXII,No-Oficial,lovethyenemy,https://play.limitlesstcg.com/api/tournaments/66351fbdb8762f7f15f62218/pairings,"[{'id': 'calyrex-ice-rider', 'name': 'Ice Rider Calyrex', 'item': 'Clear Amulet', 'ability': 'As One ', 'attacks': ['Glacial Lance', 'High Horsepower', 'Trick Room', 'Protect'], 'tera': 'Fire'}, {'id': 'incineroar', 'name': 'Incineroar', 'item': 'Safety Goggles', 'ability': 'Intimidate', 'attacks': ['Fake Out', 'Will-O-Wisp', 'Knock Off', 'Parting Shot'], 'tera': 'Ghost'}, {'id': 'amoonguss', 'name': 'Amoonguss', 'item': 'Rocky Helmet', 'ability': 'Regenerator', 'attacks': ['Spore', 'Rage Powder', 'Pollen Puff', 'Sludge Bomb'], 'tera': 'Dark'}, {'id': 'rillaboom', 'name': 'Rillaboom', 'item': 'Assault Vest', 'ability': 'Grassy Surge', 'attacks': ['Fake Out', 'Wood Hammer', 'Grassy Glide', 'U-turn'], 'tera': 'Fire'}, {'id': 'urshifu-rapid-strike', 'name': 'Rapid Strike Urshifu', 'item': 'Choice Scarf', 'ability': 'Unseen Fist', 'attacks': ['Surging Strikes', 'Close Combat', 'Aqua Jet', 'U-turn'], 'tera': 'Fire'}, {'id': 'raging-bolt', 'name': 'Raging Bolt', 'item': 'Booster Energy', 'ability': 'Protosynthesis', 'attacks': ['Dragon Pulse', 'Thunderclap', 'Thunderbolt', 'Protect'], 'tera': 'Fairy'}]",4,1
20010,FlorTour: Vol. XXII,No-Oficial,chrxnic,https://play.limitlesstcg.com/api/tournaments/66351fbdb8762f7f15f62218/pairings,"[{'id': 'calyrex-ice-rider', 'name': 'Ice Rider Calyrex', 'item': 'Clear Amulet', 'ability': 'As One ', 'attacks': ['Glacial Lance', 'High Horsepower', 'Trick Room', 'Protect'], 'tera': 'Fire'}, {'id': 'urshifu-rapid-strike', 'name': 'Rapid Strike Urshifu', 'item': 'Choice Scarf', 'ability': 'Unseen Fist', 'attacks': ['Surging Strikes', 'Close Combat', 'U-turn', 'Aqua Jet'], 'tera': 'Water'}, {'id': 'amoonguss', 'name': 'Amoonguss', 'item': 'Rocky Helmet', 'ability': 'Regenerator', 'attacks': ['Spore', 'Rage Powder', 'Pollen Puff', 'Protect'], 'tera': 'Water'}, {'id': 'pelipper', 'name': 'Pelipper', 'item': 'Focus Sash', 'ability': 'Drizzle', 'attacks': ['Hurricane', 'Protect', 'Wide Guard', 'Weather Ball'], 'tera': 'Steel'}, {'id': 'incineroar', 'name': 'Incineroar', 'item': 'Safety Goggles', 'ability': 'Intimidate', 'attacks': ['Fake Out', 'Knock Off', 'Parting Shot', 'Will-O-Wisp'], 'tera': 'Grass'}, {'id': 'raging-bolt', 'name': 'Raging Bolt', 'item': 'Booster Energy', 'ability': 'Protosynthesis', 'attacks': ['Thunderbolt', 'Thunderclap', 'Dragon Pulse', 'Protect'], 'tera': 'Electric'}]",4,1
