ID,Torneo,Tipo_Torneo,Player,Rondas,Equipo,Wins,Losses
10001,Regional Indianapolis,Oficial,Rajan Bal [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/407,https://pokepast.es/ef07017d2c4cd6f5,15,2
10002,Regional Indianapolis,Oficial,Andrew Zheng [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/525,https://pokepast.es/380a2bdcda9035bd,13,4
10003,Regional Indianapolis,Oficial,Justin Burns [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/677,https://pokepast.es/88c7d9da02072436,13,3
10004,Regional Indianapolis,Oficial,Leonard Craft III [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/211,https://pokepast.es/d2bef6a48a81dd00,13,3
10005,Regional Indianapolis,Oficial,Nick Navarre [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/53,https://pokepast.es/de62bd2784f43465,13,2
10006,Regional Indianapolis,Oficial,Shiliang Tang [CN],https://standings.stalruth.dev/2024/regional-indianapolis/masters/650,https://pokepast.es/75d11966a2bf33b6,12,3
10007,Regional Indianapolis,Oficial,Keanu Inosanto [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/619,https://pokepast.es/a0fd9a8363547518,11,4
10008,Regional Indianapolis,Oficial,Aaron Traylor [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/480,https://pokepast.es/fd091487c8b40cb2,11,4
10009,Regional Indianapolis,Oficial,Artan Abdi [CA],https://standings.stalruth.dev/2024/regional-indianapolis/masters/533,https://pokepast.es/85a1d25e123c3575,11,3
10010,Regional Indianapolis,Oficial,Jeudy Azzarelli [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/41,https://pokepast.es/e503ec134945eb28,11,3
10011,Regional Indianapolis,Oficial,Junxi Zhu [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/575,https://pokepast.es/19feb16cc5c7249f,11,3
10012,Regional Indianapolis,Oficial,Jonathan Zuniga [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/489,https://pokepast.es/b1ee1d8692abfa5d,11,3
10013,Regional Indianapolis,Oficial,Erik Holmstrom [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/96,https://pokepast.es/51e72825b5813ba9,11,3
10014,Regional Indianapolis,Oficial,Luka Trejgut [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/107,https://pokepast.es/ef9d23a042ef7bfd,11,3
10015,Regional Indianapolis,Oficial,Stefan Mott [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/661,https://pokepast.es/aa12d8d6b249152d,11,3
10016,Regional Indianapolis,Oficial,Tommy Rohlfing [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/171,https://pokepast.es/2a7929ea7ac84467,11,3
10017,Regional Indianapolis,Oficial,Andrew Ding [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/99,https://pokepast.es/767631070f69ea90,10,4
10018,Regional Indianapolis,Oficial,Jo Costagliola [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/68,https://pokepast.es/4a4044766dd73660,10,4
10019,Regional Indianapolis,Oficial,Justin Tang [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/596,https://pokepast.es/4655a7817fbba6d2,10,4
10020,Regional Indianapolis,Oficial,Ethan Mattos [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/449,https://pokepast.es/44c1350829c2c308,10,4
10021,Regional Indianapolis,Oficial,Rushil Thakkar [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/659,https://pokepast.es/59ff518b8e2fc35f,10,4
10022,Regional Indianapolis,Oficial,Matin Moradi [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/295,https://pokepast.es/3f637f5530cc02d5,10,4
10023,Regional Indianapolis,Oficial,Arthur Collier [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/46,https://pokepast.es/4a5308d12415d1cd,10,4
10024,Regional Indianapolis,Oficial,Cary D'Ortona [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/154,https://pokepast.es/80ac82cc717418e9,10,4
10025,Regional Indianapolis,Oficial,Chris Large [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/220,https://pokepast.es/e2348148fc5d6e29,10,4
10026,Regional Indianapolis,Oficial,Ale Piscitelli [CA],https://standings.stalruth.dev/2024/regional-indianapolis/masters/76,https://pokepast.es/a008158df8eed446,10,4
10027,Regional Indianapolis,Oficial,Bobby Rochelle [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/134,https://pokepast.es/6ae07ce26760de62,10,4
10028,Regional Indianapolis,Oficial,Andrew Block [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/414,https://pokepast.es/b12ebad45a55bcb1,10,4
10029,Regional Indianapolis,Oficial,Benjamin Jones [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/330,https://pokepast.es/6c3736443933e598,10,4
10030,Regional Indianapolis,Oficial,Dillon Kleinvehn [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/467,https://pokepast.es/9ff00e4c57144ce5,10,4
10031,Regional Indianapolis,Oficial,Mason Cutler [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/2,https://pokepast.es/14265ed64c1a4e51,10,4
10032,Regional Indianapolis,Oficial,Mark Grubbs [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/287,https://pokepast.es/0fbfc2ed70361d94,10,4
10033,Regional Indianapolis,Oficial,Dylan Salvanera [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/388,https://pokepast.es/e1f8524f835749bf,10,4
10034,Regional Indianapolis,Oficial,Andrew Walter [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/391,https://pokepast.es/5aa5f1c406d4db48,10,4
10035,Regional Indianapolis,Oficial,Behzad Muntazir,https://standings.stalruth.dev/2024/regional-indianapolis/masters/684,https://pokepast.es/e40df3db6409091c,10,4
10036,Regional Indianapolis,Oficial,Joey Woodring [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/230,https://pokepast.es/2486c627a8571236,9,5
10037,Regional Indianapolis,Oficial,Austin Litofsky [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/122,https://pokepast.es/e49f8cc076e1e07a,9,5
10038,Regional Indianapolis,Oficial,Matt Faucett [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/264,https://pokepast.es/aa1a46d442bd9687,9,5
10039,Regional Indianapolis,Oficial,Zhen Han [CN],https://standings.stalruth.dev/2024/regional-indianapolis/masters/313,https://pokepast.es/969fa191e8c6ab40,9,5
10040,Regional Indianapolis,Oficial,Alex Imbufe [CA],https://standings.stalruth.dev/2024/regional-indianapolis/masters/310,https://pokepast.es/9963c1c83a77932d,9,5
10041,Regional Indianapolis,Oficial,Rily Corn [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/351,https://pokepast.es/e49fae5f79a50fc1,9,5
10042,Regional Indianapolis,Oficial,David Markin [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/346,https://pokepast.es/2578d15373a24bd1,9,5
10043,Regional Indianapolis,Oficial,Ifeanyi Okafor [US],https://standings.stalruth.dev/2024/regional-indianapolis/masters/622,https://pokepast.es/9a4d0f4d6e3db0ed,9,5
