ID,Pokemon,Objeto,Habilidad,Teratipo,Mov1,Mov2,Mov3,Mov4
20001,Ice Rider Calyrex,Clear Amulet,As One ,Fire,Glacial Lance,High Horsepower,Protect,Trick Room
20001,Farigiraf,Sitrus Berry,Armor Tail,Fire,Trick Room,Dazzling Gleam,Psychic,Helping Hand
20001,Iron Hands,Assault Vest,Quark Drive,Grass,Fake Out,Wild Charge,Close Combat,Heavy Slam
20001,Bloodmoon Ursaluna,Life Orb,Mind's Eye,Normal,Blood Moon,Earth Power,Hyper Voice,Protect
20001,Tornadus,Rocky Helmet,Prankster,Steel,Tailwind,Bleakwind Storm,Taunt,Protect
20001,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect
20002,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Taunt,Knock Off,Parting Shot
20002,Amoonguss,Sitrus Berry,Regenerator,Dark,Protect,Spore,Rage Powder,Pollen Puff
20002,Zamazenta,Rusted Shield,Dauntless Shield,Grass,Protect,Iron Defense,Body Press,Heavy Slam
20002,Rapid Strike Urshifu,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,U-turn
20002,Pelipper,Focus Sash,Drizzle,Stellar,Protect,Hurricane,Weather Ball,Wide Guard
20002,Rillaboom,Assault Vest,Grassy Surge,Fire,Wood Hammer,Grassy Glide,U-turn,Fake Out
20003,Koraidon,Clear Amulet,Orichalcum Pulse,Fire,Protect,Flare Blitz,Collision Course,Dragon Claw
20003,Entei,Assault Vest,Inner Focus,Normal,Sacred Fire,Extreme Speed,Snarl,Stomping Tantrum
20003,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Moonblast,Shadow Ball,Misty Terrain
20003,Tornadus,Covert Cloak,Prankster,Dark,Tailwind,Taunt,Bleakwind Storm,Sunny Day
20003,Kingambit,Black Glasses,Defiant,Dark,Kowtow Cleave,Iron Head,Sucker Punch,Protect
20003,Raging Bolt,Magnet,Protosynthesis,Electric,Thunderbolt,Thunderclap,Dragon Pulse,Protect
20004,Ice Rider Calyrex,Clear Amulet,As One ,Fire,Glacial Lance,High Horsepower,Trick Room,Protect
20004,Incineroar,Safety Goggles,Intimidate,Ghost,Flare Blitz,Knock Off,Parting Shot,Fake Out
20004,Bloodmoon Ursaluna,Life Orb,Mind's Eye,Normal,Hyper Voice,Blood Moon,Earth Power,Protect
20004,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Dazzling Gleam,Foul Play,Trick Room,Helping Hand
20004,Rillaboom,Assault Vest,Grassy Surge,Water,Wood Hammer,Grassy Glide,U-turn,Fake Out
20004,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect
20005,Zamazenta,Rusted Shield,Dauntless Shield,Grass,Heavy Slam,Iron Defense,Body Press,Protect
20005,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Will-O-Wisp,Parting Shot,Knock Off
20005,Rillaboom,Assault Vest,Grassy Surge,Fire,Wood Hammer,U-turn,Grassy Glide,Fake Out
20005,Pelipper,Focus Sash,Drizzle,Stellar,Weather Ball,Hurricane,Wide Guard,Protect
20005,Raging Bolt,Leftovers,Protosynthesis,Fairy,Thunderclap,Dragon Pulse,Calm Mind,Protect
20005,Grimmsnarl,Light Clay,Prankster,Steel,Reflect,Light Screen,Spirit Break,Thunder Wave
20006,Ice Rider Calyrex,Clear Amulet,As One ,Fire,Glacial Lance,Close Combat,Trick Room,Protect
20006,Incineroar,Safety Goggles,Intimidate,Grass,Flare Blitz,Knock Off,Parting Shot,Fake Out
20006,Amoonguss,Rocky Helmet,Regenerator,Water,Rage Powder,Spore,Pollen Puff,Clear Smog
20006,Rapid Strike Urshifu,Choice Scarf,Unseen Fist,Fire,Surging Strikes,Close Combat,U-turn,Ice Spinner
20006,Landorus,Life Orb,Sheer Force,Steel,Earth Power,Sludge Bomb,Substitute,Protect
20006,Ting-Lu,Sitrus Berry,Vessel of Ruin,Grass,Stomping Tantrum,Snarl,Taunt,Protect
20007,Roaring Moon,Booster Energy,Protosynthesis,Flying,Tailwind,Acrobatics,Protect,Breaking Swipe
20007,Miraidon,Choice Specs,Hadron Engine,Fairy,Electro Drift,Draco Meteor,Dazzling Gleam,Volt Switch
20007,Rapid Strike Urshifu,Splash Plate,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,Detect
20007,Entei,Assault Vest,Inner Focus,Water,Sacred Fire,Extreme Speed,Stomping Tantrum,Snarl
20007,Shiftry,Focus Sash,Wind Rider,Dark,Fake Out,Sucker Punch,Leaf Blade,Knock Off
20007,Avalugg,Electric Seed,Own Tempo,Fighting,Body Press,Wide Guard,Iron Defense,Gyro Ball
20008,Miraidon,Life Orb,Hadron Engine,Electric,Electro Drift,Protect,Draco Meteor,Parabolic Charge
20008,Iron Jugulis,Focus Sash,Quark Drive,Ground,Tailwind,Snarl,Roar,Protect
20008,Landorus Therian,Clear Amulet,Intimidate,Fairy,Rock Slide,Earthquake,Stomping Tantrum,Protect
20008,Rapid Strike Urshifu,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,U-turn
20008,Hearthflame Mask Ogerpon,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Trailblaze,Encore,Spiky Shield
20008,Chien-Pao,Assault Vest,Sword of Ruin,Fairy,Ice Shard,Sacred Sword,Sucker Punch,Icicle Crash
20009,Ice Rider Calyrex,Clear Amulet,As One ,Fire,Glacial Lance,High Horsepower,Trick Room,Protect
20009,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Will-O-Wisp,Knock Off,Parting Shot
20009,Amoonguss,Rocky Helmet,Regenerator,Dark,Spore,Rage Powder,Pollen Puff,Sludge Bomb
20009,Rillaboom,Assault Vest,Grassy Surge,Fire,Fake Out,Wood Hammer,Grassy Glide,U-turn
20009,Rapid Strike Urshifu,Choice Scarf,Unseen Fist,Fire,Surging Strikes,Close Combat,Aqua Jet,U-turn
20009,Raging Bolt,Booster Energy,Protosynthesis,Fairy,Dragon Pulse,Thunderclap,Thunderbolt,Protect
20010,Ice Rider Calyrex,Clear Amulet,As One ,Fire,Glacial Lance,High Horsepower,Trick Room,Protect
20010,Rapid Strike Urshifu,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,U-turn,Aqua Jet
