ID,Pokemon,Objeto,Habilidad,Teratipo,Mov1,Mov2,Mov3,Mov4
10001,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Hyper Voice,Blood Moon,Earth Power,Protect
10001,Miraidon,Choice Specs,Hadron Engine,Electric,Electro Drift,Draco Meteor,Discharge,Volt Switch
10001,Ogerpon-Cornerstone,Cornerstone Mask,Sturdy,Rock,Ivy Cudgel,Power Whip,Follow Me,Spiky Shield
10001,Farigiraf,Electric Seed,Armor Tail,Ground,Tera Blast,Foul Play,Trick Room,Helping Hand
10001,Incineroar,Assault Vest,Intimidate,Grass,Flare Blitz,Knock Off,Fake Out,U-turn
10001,Whimsicott,Focus Sash,Prankster,Ghost,Moonblast,Tailwind,Encore,Protect
10002,Urshifu-Rapid-Strike,Safety Goggles,Unseen Fist,Ghost,Surging Strikes,Close Combat,Swords Dance,Protect
10002,Chi-Yu,Choice Scarf,Beads of Ruin,Ghost,Heat Wave,Dark Pulse,Psychic,Snarl
10002,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Icy Wind,Protect,Moonblast,Shadow Ball
10002,Terapagos,Choice Specs,Tera Shift,"Stellar
- Tera Starstorm",Dark Pulse,Sleep Talk,Hyper Beam,
10002,Amoonguss,Rocky Helmet,Regenerator,Water,Rage Powder,Pollen Puff,Protect,Spore
10002,Tornadus,Covert Cloak,Prankster,Dark,Bleakwind Storm,Tailwind,Taunt,Rain Dance
10003,Raging Bolt,Booster Energy,Protosynthesis,Electric,Thunderbolt,Draco Meteor,Thunderclap,Protect
10003,Amoonguss,Rocky Helmet,Regenerator,Fairy,Pollen Puff,Spore,Rage Powder,Protect
10003,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Ghost,Surging Strikes,Close Combat,Coaching,U-turn
10003,Calyrex-Ice,Clear Amulet,As One (Glastrier),Grass,Glacial Lance,High Horsepower,Trick Room,Protect
10003,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Knock Off,Taunt,Parting Shot
10003,Pelipper,Focus Sash,Drizzle,Ghost,Hurricane,Weather Ball,Wide Guard,Protect
10004,Farigiraf,Safety Goggles,Armor Tail,Dragon,Psychic,Helping Hand,Uproar,Trick Room
10004,Incineroar,Sitrus Berry,Intimidate,Grass,Fake Out,Parting Shot,Flare Blitz,Knock Off
10004,Calyrex-Ice,Clear Amulet,As One (Glastrier),Fire,Glacial Lance,Protect,Close Combat,Trick Room
10004,Raging Bolt,Assault Vest,Protosynthesis,Electric,Thunderclap,Thunderbolt,Volt Switch,Draco Meteor
10004,Amoonguss,Focus Sash,Regenerator,Water,Rage Powder,Clear Smog,Pollen Puff,Spore
10004,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Coaching,U-turn
10005,Tornadus,Covert Cloak,Prankster,Dark,Bleakwind Storm,Protect,Tailwind,Rain Dance
10005,Amoonguss,Rocky Helmet,Regenerator,Water,Rage Powder,Pollen Puff,Spore,Protect
10005,Urshifu-Rapid-Strike,Mystic Water,Unseen Fist,Grass,Surging Strikes,Detect,Taunt,Close Combat
10005,Raging Bolt,Assault Vest,Protosynthesis,Grass,Thunderclap,Thunderbolt,Draco Meteor,Snarl
10005,Chi-Yu,Focus Sash,Beads of Ruin,Ghost,Heat Wave,Protect,Snarl,Overheat
10005,Terapagos,Choice Specs,Tera Shift,Stellar,Sleep Talk,Earth Power,Tera Starstorm,Dark Pulse
10006,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Grass,Surging Strikes,Close Combat,Aqua Jet,U-turn
10006,Tsareena,Wide Lens,Queenly Majesty,Water,Protect,Power Whip,Triple Axel,Taunt
10006,Iron Jugulis,Booster Energy,Quark Drive,Water,Snarl,Protect,Tailwind,Hurricane
10006,Kyogre,Assault Vest,Drizzle,Grass,Water Spout,Origin Pulse,Thunder,Ice Beam
10006,Incineroar,Safety Goggles,Intimidate,Ghost,Knock Off,Will-O-Wisp,Fake Out,Parting Shot
10006,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Moonblast,Icy Wind
10007,Pelipper,Rocky Helmet,Drizzle,Grass,Weather Ball,Hurricane,Protect,Wide Guard
10007,Latios,Soul Dew,Levitate,Steel,Luster Purge,Draco Meteor,Icy Wind,Protect
10007,Moltres-Galar,Black Glasses,Berserk,Dark,Tailwind,Fiery Wrath,Foul Play,Protect
10007,Zamazenta,Rusted Shield,Dauntless Shield,Grass,Body Press,Wide Guard,Heavy Slam,Protect
10007,Rillaboom,Choice Band,Grassy Surge,Fire,Wood Hammer,Grassy Glide,U-turn,High Horsepower
10007,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Sacred Sword,Sucker Punch,Icicle Crash,Protect
10008,Farigiraf,Electric Seed,Armor Tail,Ground,Tera Blast,Helping Hand,Trick Room,Foul Play
10008,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Blood Moon,Earth Power,Hyper Voice,Protect
