ID,Pokemon,Objeto,Habilidad,Teratipo,Mov1,Mov2,Mov3,Mov4,arch
10001,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Hyper Voice,Blood Moon,Earth Power,Protect,MiraiMoona TR
10001,Miraidon,Choice Specs,Hadron Engine,Electric,Electro Drift,Draco Meteor,Discharge,Volt Switch,MiraiMoona TR
10001,Ogerpon-Cornerstone,Cornerstone Mask,Sturdy,Rock,Ivy Cudgel,Power Whip,Follow Me,Spiky Shield,MiraiMoona TR
10001,Farigiraf,Electric Seed,Armor Tail,Ground,Tera Blast,Foul Play,Trick Room,Helping Hand,MiraiMoona TR
10001,Incineroar,Assault Vest,Intimidate,Grass,Flare Blitz,Knock Off,Fake Out,U-turn,MiraiMoona TR
10001,Whimsicott,Focus Sash,Prankster,Ghost,Moonblast,Tailwind,Encore,Protect,MiraiMoona TR
10002,Urshifu-Rapid-Strike,Safety Goggles,Unseen Fist,Ghost,Surging Strikes,Close Combat,Swords Dance,Protect,Terapagos Specs
10002,Chi-Yu,Choice Scarf,Beads of Ruin,Ghost,Heat Wave,Dark Pulse,Psychic,Snarl,Terapagos Specs
10002,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Icy Wind,Protect,Moonblast,Shadow Ball,Terapagos Specs
10002,Terapagos,Choice Specs,Tera Shift,Stellar,Dark Pulse,Sleep Talk,Hyper Beam,Tera Starstorm,Terapagos Specs
10002,Amoonguss,Rocky Helmet,Regenerator,Water,Rage Powder,Pollen Puff,Protect,Spore,Terapagos Specs
10002,Tornadus,Covert Cloak,Prankster,Dark,Bleakwind Storm,Tailwind,Taunt,Rain Dance,Terapagos Specs
10003,Raging Bolt,Booster Energy,Protosynthesis,Electric,Thunderbolt,Draco Meteor,Thunderclap,Protect,Calyice Rain
10003,Amoonguss,Rocky Helmet,Regenerator,Fairy,Pollen Puff,Spore,Rage Powder,Protect,Calyice Rain
10003,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Ghost,Surging Strikes,Close Combat,Coaching,U-turn,Calyice Rain
10003,Calyrex-Ice,Clear Amulet,As One (Glastrier),Grass,Glacial Lance,High Horsepower,Trick Room,Protect,Calyice Rain
10003,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Knock Off,Taunt,Parting Shot,Calyice Rain
10003,Pelipper,Focus Sash,Drizzle,Ghost,Hurricane,Weather Ball,Wide Guard,Protect,Calyice Rain
