ID,Ronda,Rival,Resultado
20001,1,lovethyenemy,Win
20001,2,stonestormvgc,Win
20001,3,block7,Loss
20001,4,vexacus4666,Win
20001,5,seawolfmikes,Win
20001,T8-2,aberen,Win
20001,T2-1,richvvs,Win
20001,T4-1,florianvgc,Win
20002,DROP,DROP,DROP
20002,2,dinomike,Win
20002,3,cocona,Win
20002,4,goto,Loss
20002,5,block7,Win
20002,T2-1,alphamystogan,Loss
20002,T8-3,goto,Win
20002,T4-2,talonlies,Win
20003,1,strifesada,Win
20003,2,maiuri,Win
20003,3,aberen,Win
20003,4,chefrich22,Win
20003,5,fofer,Loss
20003,T4-2,richvvs,Loss
20003,T8-4,chefrich22,Win
20004,1,hootie,Win
20004,2,jzvictini,Win
20004,3,thegamedex,Win
20004,4,kenepa21,Win
20004,5,aberen,Loss
20004,T4-1,alphamystogan,Loss
20004,T8-1,fofer,Win
20005,1,dansan,Win
20005,2,breloomboi,Win
20005,3,shigato,Win
20005,4,block7,Win
20005,5,talonlies,Win
20005,T8-1,florianvgc,Loss
20006,1,seawolfmikes,Win
20006,2,iktan,Win
20006,3,talonlies,Loss
20006,4,usagifoo,Win
20006,5,florianvgc,Win
20006,T8-2,alphamystogan,Loss
20007,1,chrxnic,Win
20007,2,vexacus4666,Win
20007,3,saelzi,Win
20007,4,talonlies,Loss
20007,5,breloomboi,Win
20007,T8-4,talonlies,Loss
20008,1,usagifoo,Win
20008,2,thegamedex,Loss
20008,3,katatatat,Win
20008,4,richvvs,Win
20008,5,stonestormvgc,Win
20008,T8-3,richvvs,Loss
20009,1,alphamystogan,Loss
20009,2,hootie,Win
20009,3,crypticcreative,Win
20009,4,iktan,Win
20009,5,kenepa21,Win
20010,1,chefrich22,Loss
20010,2,azunkurone,Win
20010,3,jzvictini,Win
20010,4,zardx20181,Win
20010,5,thegamedex,Win
20011,1,breezyvgc,Win
20011,2,goto,Win
20011,3,florianvgc,Loss
20011,4,assure,Win
20011,5,chrxnic,Loss
20012,1,aberen,Loss
20012,2,asburypark,Win
20012,3,cogao,Win
20012,4,dragonairjordan,Win
20012,5,alphamystogan,Loss
20013,1,ducelimone,Win
20013,2,zardx20181,Win
20013,3,alphamystogan,Win
20013,4,fofer,Loss
20013,5,richvvs,Loss
20014,1,paliq,Win
20014,2,fofer,Loss
20014,3,embarking,Win
20014,4,saelzi,Win
20014,5,chefrich22,Loss
20015,1,jay49,Win
20015,2,assure,Win
20015,3,dragonairjordan,Win
20015,4,florianvgc,Loss
20015,5,lovethyenemy,Loss
20016,1,asburypark,Win
20016,2,alphamystogan,Loss
20016,3,zardx20181,Win
20016,4,maiuri,Win
20016,5,goto,Loss
20017,1,stonestormvgc,Loss
20017,2,seawolfmikes,Loss
20017,DROP,DROP,DROP
20017,4,copiumhuffer,Win
20017,5,cpm,Win
20018,1,cpm,Win
20018,2,kenepa21,Loss
20018,3,copiumhuffer,Win
20018,4,thegamedex,Loss
20018,5,vexacus4666,Win
20019,1,crypticcreative,Win
20019,2,cocona,Loss
20019,3,vexacus4666,Loss
20019,4,joao,Win
20019,5,maiuri,Win
20020,DROP,DROP,DROP
20020,2,richvvs,Loss
20020,3,fumbled,Win
20020,4,katatatat,Win
20020,5,saelzi,Win
20021,1,vexacus4666,Loss
20021,2,breezyvgc,Win
20021,3,seawolfmikes,Loss
20021,4,gabbvgc,Win
20021,5,dragonairjordan,Win
20022,1,cogao,Win
20022,2,chefrich22,Loss
20022,3,decim0,Win
20022,4,alphamystogan,Loss
20022,5,assure,Loss
20023,1,fumbled,Win
20023,2,cromo,Win
20023,3,fofer,Loss
20024,1,azunkurone,Win
20024,2,decim0,Win
20024,3,richvvs,Loss
20025,1,goto,Loss
20025,2,strifesada,Win
20025,3,jay49,Win
20025,4,aberen,Loss
20026,1,joao,Win
20026,2,gabbvgc,Win
20026,3,chefrich22,Loss
20026,4,breloomboi,Loss
20026,5,dinomike,Loss
20027,1,katatatat,Win
20027,2,aberen,Loss
20027,3,gabbvgc,Win
20027,4,lovethyenemy,Loss
20028,1,kc7,Win
20028,2,talonlies,Loss
20028,3,dingusbeer,Win
20028,4,stonestormvgc,Loss
20028,5,decim0,Loss
20029,1,copiumhuffer,Win
20029,2,embarking,Win
20029,3,kenepa21,Loss
20029,4,seawolfmikes,Loss
20029,5,cogao,Loss
20030,1,dragonairjordan,Loss
20030,DROP,DROP,DROP
20030,3,assure,Loss
20030,4,asburypark,Loss
20030,5,zardx20181,Win
20031,1,saelzi,Loss
20031,2,crypticcreative,Loss
20031,3,breezyvgc,Win
20031,4,decim0,Loss
20031,DROP,DROP,DROP
20032,1,florianvgc,Loss
20032,2,lovethyenemy,Loss
20032,3,cpm,Win
20033,1,nerfganon,Win
20033,2,florianvgc,Loss
20033,3,chrxnic,Loss
20034,1,decim0,Loss
20034,2,joao,Win
20034,3,lovethyenemy,Loss
20035,1,iktan,Loss
20035,2,fumbled,Win
20035,3,goto,Loss
20035,4,dinomike,Loss
20036,1,bbyzena,Win
20036,2,block7,Loss
20036,3,stonestormvgc,Loss
20036,4,chrxnic,Loss
20036,5,copiumhuffer,Loss
20037,1,assure,Loss
20037,2,dingusbeer,Loss
20037,3,hootie,Loss
20037,DROP,DROP,DROP
20037,5,asburypark,Loss
